"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
114	0.0269526	0.3843546	0.5690601	0.4623970	0.4071407	0.0292983	0.7129067	0.5972174	0.7084146	0.6803355
115	0.0304812	0.3229390	0.5916987	0.4503551	0.3935568	0.0307930	0.5464436	0.6537542	0.6721539	0.6801696
116	0.0420756	0.3616373	0.6470495	0.4426219	0.4704487	0.0328167	0.6160293	0.6632874	0.7168076	0.7169747
117	0.0148454	0.3645669	0.5983874	0.4508449	0.4712817	0.0337964	0.7262791	0.6316119	0.6924950	0.7753385
118	0.0346702	0.2666443	0.6144465	0.4582125	0.4811862	0.0326700	0.8118307	0.5803528	0.6572357	0.6376812
119	0.0192562	0.3181093	0.5349144	0.4835655	0.3859007	0.0424346	0.7013733	0.5969818	0.7174379	0.6109853
120	0.0264104	0.2999521	0.6385688	0.4165676	0.4141466	0.0403844	0.6529639	0.5600877	0.6873375	0.6444895
121	0.0419700	0.3106524	0.6158035	0.4098792	0.4974694	0.0342907	0.7722104	0.5501976	0.6744160	0.7524287
122	0.0441713	0.2870568	0.5745640	0.4367262	0.4787890	0.0472706	0.6690864	0.6372732	0.5959705	0.6872856
123	0.0294647	0.3308094	0.6753143	0.4423597	0.3820519	0.0324940	0.5751741	0.5897590	0.6578497	0.6755765
124	0.0200690	0.4319896	0.6518379	0.5379938	0.4441450	0.0382488	0.6185068	0.6100731	0.6734966	0.7576665
125	0.0221303	0.3156421	0.7363322	0.3997856	0.4754315	0.0461719	0.5851262	0.5956729	0.6027683	0.7487177
126	0.0230826	0.2914883	0.6150858	0.4169653	0.3961246	0.0301018	0.7315158	0.6116788	0.7334783	0.7152624
127	0.0349658	0.3260651	0.6138700	0.3623067	0.3968013	0.0325486	0.6384288	0.6440314	0.6451483	0.7518427
128	0.0378622	0.3104477	0.6264899	0.3854202	0.4682421	0.0286579	0.7213712	0.6796275	0.7443048	0.8586909
129	0.0427079	0.3089201	0.7320957	0.3347001	0.3709853	0.0335957	0.6514153	0.6654100	0.5853772	0.6173638
130	0.0310385	0.3160375	0.5983984	0.4086148	0.4743099	0.0433802	0.6006901	0.5769307	0.5778661	0.6899595
131	0.0318854	0.2567069	0.5902516	0.4703605	0.3643797	0.0526569	0.6753304	0.5689399	0.6952821	0.7184503
132	0.0468229	0.2989753	0.5523691	0.4643317	0.4520436	0.0356105	0.7438380	0.5886925	0.5722656	0.6632657
133	0.0600666	0.3078240	0.5766565	0.4396430	0.4240005	0.0470458	0.5930637	0.5847461	0.5964763	0.7273033
134	0.0235523	0.3702271	0.7034119	0.4232669	0.3342243	0.0270754	0.6998088	0.6245045	0.8289708	0.8226223
135	0.0402989	0.2593257	0.6513425	0.5507206	0.5083131	0.0375003	0.7438689	0.6281034	0.6347902	0.6965088
136	0.0247768	0.3027195	0.6761647	0.4329776	0.5121173	0.0305832	0.7529628	0.6695095	0.6369022	0.7675676
137	0.0379310	0.3065256	0.6805197	0.4158049	0.4626117	0.0426955	0.7408951	0.5800467	0.6204727	0.6023945
138	0.0261584	0.3215226	0.6960356	0.4144672	0.4518936	0.0303599	0.6833737	0.6566940	0.6558067	0.6951657
139	0.0454152	0.3354290	0.5385976	0.4616480	0.4215855	0.0238778	0.6987105	0.5037844	0.5739055	0.7236564
140	0.0349621	0.3792559	0.6322282	0.5416564	0.4467060	0.0561750	0.7273883	0.6454009	0.6879495	0.5553273
141	0.0333012	0.2843797	0.5823157	0.3529276	0.4031425	0.0450289	0.6755880	0.5082918	0.6389729	0.6467575
142	0.0234881	0.2543510	0.6050269	0.4689812	0.4591319	0.0397397	0.5933905	0.7028016	0.6610342	0.6469308
143	0.0412331	0.3646009	0.5398082	0.4230641	0.4416905	0.0408021	0.5988144	0.6049777	0.5823360	0.7550204
144	0.0423755	0.2604882	0.5854997	0.3876848	0.4525836	0.0508044	0.7304264	0.6263675	0.6294340	0.7584862
145	0.0610664	0.3489562	0.6575431	0.4223219	0.4305880	0.0625927	0.6529848	0.6566409	0.6713106	0.6433772
146	0.0432319	0.3236418	0.5977463	0.3525910	0.3467720	0.0320627	0.7421016	0.6801985	0.7335626	0.7165516
147	0.0613962	0.2963665	0.5994522	0.4546276	0.3627352	0.0369509	0.6477117	0.6153717	0.5956464	0.6379796
148	0.0532500	0.2842943	0.4980617	0.3796867	0.4421658	0.0697232	0.6404733	0.7003967	0.5822014	0.4935218
149	0.0615182	0.2852938	0.6533696	0.5366859	0.3979392	0.0569499	0.6564634	0.7359511	0.7119719	0.7106260
150	0.0621336	0.2837660	0.6971166	0.5186739	0.4120954	0.0513414	0.5756579	0.7166139	0.6032866	0.7018674
151	0.0601533	0.3454306	0.5603933	0.4927363	0.4244595	0.0428125	0.6351888	0.6411676	0.6905170	0.7539451
152	0.0451862	0.2707516	0.5756944	0.4494688	0.3956816	0.0563191	0.7595807	0.6849794	0.7715645	0.6183436
